variant,label,task_id,scenario,required_apps,trajectory_steps,success,passed,failed,total,pass_percentage,elapsed_seconds,code_responses,lm_calls,finish_length_count,content_null_count,content_empty_count,max_steps_reached,python_error_events,syntax_error_events,name_error_events,attribute_error_events,type_error_events,invalid_api_events,wrong_argument_events,http_4xx_events,auth_error_events,complete_success_calls,complete_fail_calls,complete_ack_events,false_success_declaration
lora,LoRA epoch5,302c169_3,302c169,phone,10,False,3,5,8,37.5,237.771,50,50,0,0,0,True,42,0,1,0,0,0,0,0,0,0,0,0,False
lora,LoRA epoch5,34d9492_1,34d9492,file_system,8,False,2,3,5,40.0,288.88,50,50,0,0,0,True,46,0,10,0,0,0,0,0,0,0,0,0,False
lora,LoRA epoch5,34d9492_2,34d9492,file_system,8,False,2,3,5,40.0,140.332,42,43,0,0,1,False,31,0,1,0,11,0,6,6,0,20,0,0,True
lora,LoRA epoch5,34d9492_3,34d9492,file_system,8,False,2,3,5,40.0,113.858,50,50,0,0,0,True,44,0,8,0,0,0,0,21,21,0,0,0,False
lora,LoRA epoch5,60d0b5b_1,60d0b5b,phone+venmo,10,False,5,2,7,71.4,42.462,17,17,0,0,0,False,9,0,1,1,1,1,0,0,0,1,0,0,True
lora,LoRA epoch5,60d0b5b_2,60d0b5b,phone+venmo,10,False,0,7,7,0.0,160.778,50,50,0,0,0,True,47,0,0,45,0,45,0,0,0,0,0,0,False
lora,LoRA epoch5,60d0b5b_3,60d0b5b,phone+venmo,10,False,1,6,7,14.3,29.14,10,10,0,0,0,False,6,0,3,1,0,1,0,0,0,2,0,0,True
lora,LoRA epoch5,3c13f5a_1,3c13f5a,file_system+phone+venmo,13,False,5,1,6,83.3,82.503,34,34,0,0,0,False,20,0,2,0,0,0,0,1,1,1,0,0,True
lora,LoRA epoch5,3c13f5a_2,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,298.017,50,50,0,0,0,True,45,0,22,0,0,0,23,23,0,0,0,0,False
lora,LoRA epoch5,3c13f5a_3,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,216.683,50,50,0,0,0,True,46,0,15,2,0,2,28,28,0,0,0,0,False
full2,Full-SFT epoch2,e85d92a_1,e85d92a,spotify,7,False,1,1,2,50.0,47.91,4,5,1,0,0,False,2,0,0,0,0,0,0,0,0,1,0,0,True
full2,Full-SFT epoch2,e85d92a_2,e85d92a,spotify,7,False,1,1,2,50.0,83.658,49,50,1,0,0,True,47,0,0,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,e85d92a_3,e85d92a,spotify,7,False,1,1,2,50.0,82.814,49,50,1,0,0,True,49,0,47,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,302c169_1,302c169,phone,10,False,1,7,8,12.5,59.343,18,50,0,0,0,True,47,0,16,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,302c169_2,302c169,phone,10,False,1,7,8,12.5,394.943,3,14,9,0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,302c169_3,302c169,phone,10,False,1,7,8,12.5,218.758,3,9,5,0,1,False,6,0,1,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,34d9492_1,34d9492,file_system,8,False,2,3,5,40.0,66.195,50,50,0,0,0,True,48,0,46,0,0,0,0,2,2,0,0,0,False
full2,Full-SFT epoch2,34d9492_2,34d9492,file_system,8,False,2,3,5,40.0,49.391,49,50,0,0,0,True,48,0,0,0,0,0,0,47,47,0,0,0,False
full2,Full-SFT epoch2,34d9492_3,34d9492,file_system,8,False,2,3,5,40.0,37.235,49,50,0,0,0,True,48,0,45,0,0,0,0,2,2,0,0,0,False
full2,Full-SFT epoch2,60d0b5b_1,60d0b5b,phone+venmo,10,False,0,7,7,0.0,82.913,50,50,0,0,0,True,1,0,0,0,0,0,1,1,0,0,0,0,False
full2,Full-SFT epoch2,60d0b5b_2,60d0b5b,phone+venmo,10,False,0,7,7,0.0,82.815,50,50,0,0,0,True,1,0,0,0,0,0,1,1,0,0,0,0,False
full2,Full-SFT epoch2,60d0b5b_3,60d0b5b,phone+venmo,10,False,0,7,7,0.0,39.241,50,50,0,0,0,True,1,0,0,0,0,0,1,1,0,0,0,0,False
full2,Full-SFT epoch2,3c13f5a_1,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,53.591,50,50,0,0,0,True,47,0,27,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,3c13f5a_2,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,220.61,2,8,5,0,1,False,5,0,0,0,0,0,0,0,0,0,0,0,False
full2,Full-SFT epoch2,3c13f5a_3,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,220.641,2,8,5,0,1,False,5,0,0,0,0,0,0,0,0,0,0,0,False
full5,Full-SFT epoch5,e85d92a_1,e85d92a,spotify,7,False,1,1,2,50.0,12.257,6,7,0,0,0,False,3,0,2,0,0,0,0,0,0,2,0,0,True
full5,Full-SFT epoch5,e85d92a_2,e85d92a,spotify,7,False,1,1,2,50.0,13.614,13,15,0,0,0,False,8,0,4,0,0,0,1,1,0,3,0,0,True
full5,Full-SFT epoch5,e85d92a_3,e85d92a,spotify,7,False,1,1,2,50.0,11.802,11,11,0,0,0,False,7,0,3,0,0,0,1,1,0,3,0,0,True
full5,Full-SFT epoch5,302c169_1,302c169,phone,10,False,2,6,8,25.0,16.925,8,9,0,0,0,False,5,0,4,0,0,0,0,0,0,1,0,0,True
full5,Full-SFT epoch5,302c169_2,302c169,phone,10,False,2,6,8,25.0,19.17,10,10,0,0,0,False,5,0,4,0,0,0,0,0,0,1,0,0,True
full5,Full-SFT epoch5,302c169_3,302c169,phone,10,False,2,6,8,25.0,16.794,10,10,0,0,0,False,5,0,4,0,0,0,0,0,0,2,0,0,True
full5,Full-SFT epoch5,34d9492_1,34d9492,file_system,8,False,3,2,5,60.0,77.262,6,13,1,0,0,False,10,0,1,0,0,0,2,2,0,1,0,0,True
full5,Full-SFT epoch5,34d9492_2,34d9492,file_system,8,False,2,3,5,40.0,226.253,4,10,5,0,1,False,6,0,1,0,0,0,0,0,0,0,0,0,False
full5,Full-SFT epoch5,34d9492_3,34d9492,file_system,8,False,3,2,5,60.0,91.23,5,8,2,0,0,False,4,0,1,0,0,0,0,0,0,1,0,0,True
full5,Full-SFT epoch5,60d0b5b_1,60d0b5b,phone+venmo,10,False,1,6,7,14.3,51.43,9,10,1,0,0,False,5,0,2,0,0,0,0,2,2,1,0,0,True
full5,Full-SFT epoch5,60d0b5b_2,60d0b5b,phone+venmo,10,False,1,6,7,14.3,20.401,10,10,0,0,0,False,5,0,5,0,0,0,0,0,0,1,0,0,True
full5,Full-SFT epoch5,60d0b5b_3,60d0b5b,phone+venmo,10,False,1,6,7,14.3,129.651,5,8,3,0,0,False,4,0,1,0,0,0,0,0,0,1,0,0,True
full5,Full-SFT epoch5,3c13f5a_1,3c13f5a,file_system+phone+venmo,13,False,2,4,6,33.3,13.285,6,8,0,0,0,False,5,0,3,0,0,0,0,0,0,1,0,0,True
full5,Full-SFT epoch5,3c13f5a_2,3c13f5a,file_system+phone+venmo,13,False,2,4,6,33.3,98.038,9,11,2,0,0,False,7,0,5,0,0,0,1,1,0,1,0,0,True
full5,Full-SFT epoch5,3c13f5a_3,3c13f5a,file_system+phone+venmo,13,False,1,5,6,16.7,361.271,6,17,8,0,1,False,12,0,7,0,0,0,0,0,0,0,0,0,False
